City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Provideniya,RU,64.3833,-173.3,28.72,69,28,8.19,scattered clouds
182,Nikolskoye,RU,59.7035,30.7861,49.89,80,89,5.61,overcast clouds
183,Kandrian,PG,-6.2167,149.55,76.86,86,82,4.68,broken clouds
184,Bengkulu,ID,-3.8004,102.2655,76.03,86,100,5.01,light rain
185,Leeton,AU,-34.5667,146.4,47.89,83,56,6.29,broken clouds
186,Georgiyevka,KZ,43.0369,74.7114,50.04,43,0,6.71,clear sky
187,Pahrump,US,36.2083,-115.9839,73.98,34,31,2.75,scattered clouds
188,Channel-Port Aux Basques,CA,47.5702,-59.1367,48.58,60,13,19.62,few clouds
189,Chake Chake,TZ,-5.2459,39.7666,76.5,75,2,11.54,clear sky
190,Cartagena,CO,10.3997,-75.5144,85.62,79,40,9.22,scattered clouds
191,Trussville,US,33.6198,-86.6089,67.28,50,0,6.91,clear sky
192,San Jeronimo,PE,-11.9472,-75.2829,58.37,51,41,3.56,scattered clouds
193,Castro,BR,-24.7911,-50.0119,59.49,96,100,9.35,light rain
194,Huarmey,PE,-10.0681,-78.1522,66.16,78,62,9.08,broken clouds
195,Saldanha,ZA,-33.0117,17.9442,83.41,28,100,14.61,overcast clouds
196,Egvekinot,RU,66.3167,-179.1667,12.04,71,21,6.11,few clouds
197,Ijero,NG,6.4819,3.3803,81.97,73,75,10.02,broken clouds
198,Thompson,CA,55.7435,-97.8558,48.36,76,20,4.61,few clouds
199,Bandarbeyla,SO,9.4942,50.8122,78.28,85,70,14.67,broken clouds
200,Chalmette,US,29.9427,-89.9634,75.2,48,0,14.97,clear sky
201,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,81,75,12.66,broken clouds
202,Ndola,ZM,-12.9587,28.6366,85.3,16,29,9.98,scattered clouds
203,Suslovo,RU,56.2167,88.1167,43.52,85,100,11.05,overcast clouds
204,San Patricio,US,28.017,-97.5169,84.07,50,7,12.8,clear sky
205,Hongjiang,CN,27.11,109.9956,56.23,47,97,2.35,overcast clouds
206,Kirakira,SB,-10.4544,161.9205,77.79,83,33,1.9,scattered clouds
207,Luanda,AO,-8.8368,13.2343,77.92,73,0,14.7,clear sky
208,Acarau,BR,-2.8856,-40.12,88.88,53,40,20.83,scattered clouds
209,Gotsu,JP,35.0,132.2167,60.82,57,98,25.28,overcast clouds
210,Ankang,CN,32.68,109.0172,52.56,66,100,0.04,overcast clouds
211,Vangaindrano,MG,-23.35,47.6,72.39,74,0,11.79,clear sky
212,Luderitz,NA,-26.6481,15.1594,61.5,84,79,14.05,broken clouds
213,Mwense,ZM,-10.3845,28.698,92.43,11,20,6.58,few clouds
